iteration,seed,fitness,total_existing,total_planted,exist_AG_LEC,exist_AG_SAL,exist_AG_SCB,exist_AG_STR,exist_OP_CAN,exist_OP_ENG,exist_OP_ROB,exist_OP_STR,exist_PR_LAE,exist_YU_FIL,new_AG_LEC,new_AG_SAL,new_AG_SCB,new_AG_STR,new_OP_CAN,new_OP_ENG,new_OP_ROB,new_OP_STR,new_PR_LAE,new_YU_FIL
53,661099,699.1118279569891,70,555,5,16,6,1,4,6,8,10,7,7,35,170,34,39,43,30,61,51,74,18
54,726382,697.9322580645161,74,551,7,26,3,4,6,3,7,6,9,3,33,160,37,36,41,33,62,55,72,22
55,662987,694.732258064516,70,555,5,26,0,5,3,2,10,10,9,0,35,160,40,35,44,34,59,51,72,25
56,386903,693.1,66,559,7,18,4,5,6,5,9,5,7,0,33,168,36,35,41,31,60,56,74,25
57,707913,696.041935483871,72,553,3,23,5,7,4,5,2,9,8,6,37,163,35,33,43,31,67,52,73,19
58,226766,697.1247311827957,69,556,1,25,5,3,5,5,11,2,10,2,39,161,35,37,42,31,58,59,71,23
59,618857,696.9516129032259,70,555,4,11,6,4,8,2,6,7,16,6,36,175,34,36,39,34,63,54,65,19
60,793180,690.9870967741936,73,552,4,29,5,5,2,3,8,10,5,2,36,157,35,35,45,33,61,51,76,23
61,970714,700.3494623655913,70,555,7,16,1,4,4,3,8,13,9,5,33,170,39,36,43,33,61,48,72,20
62,624407,694.7892473118278,68,557,3,20,5,2,0,6,6,10,13,3,37,166,35,38,47,30,63,51,68,22
63,268816,692.6075268817203,71,554,3,24,0,5,5,4,10,10,9,1,37,162,40,35,42,32,59,51,72,24
64,543072,700.0236559139785,76,549,3,25,8,3,6,5,7,4,12,3,37,161,32,37,41,31,62,57,69,22
65,252679,699.6258064516128,71,554,4,27,1,6,3,6,7,1,9,7,36,159,39,34,44,30,62,60,72,18
66,21192,692.5043010752688,73,552,5,20,5,5,6,3,8,8,11,2,35,166,35,35,41,33,61,53,70,23
67,493218,698.5150537634408,74,551,2,21,3,11,6,8,7,6,6,4,38,165,37,29,41,28,62,55,75,21
68,862092,691.5333333333333,75,550,6,22,5,2,4,4,11,10,7,4,34,164,35,38,43,32,58,51,74,21
69,330838,696.0655913978494,66,559,4,22,4,7,1,5,5,8,9,1,36,164,36,33,46,31,64,53,72,24
70,93849,691.079569892473,75,550,7,20,3,9,10,5,7,6,7,1,33,166,37,31,37,31,62,55,74,24
71,543620,695.2344086021506,64,561,0,26,4,3,3,3,3,7,11,4,40,160,36,37,44,33,66,54,70,21
72,2611,691.4086021505376,69,556,4,18,3,3,6,6,8,6,12,3,36,168,37,37,41,30,61,55,69,22
73,167344,699.3892473118278,72,553,2,17,2,3,3,3,12,10,15,5,38,169,38,37,44,33,57,51,66,20
74,432616,694.352688172043,71,554,6,21,4,3,9,2,5,11,7,3,34,165,36,37,38,34,64,50,74,22
75,554649,698.2967741935483,74,551,5,20,5,2,6,3,8,11,11,3,35,166,35,38,41,33,61,50,70,22
76,525949,691.9731182795699,74,551,4,27,4,3,10,4,5,10,5,2,36,159,36,37,37,32,64,51,76,23
77,612541,682.5064516129032,71,554,5,24,5,4,9,5,7,4,7,1,35,162,35,36,38,31,62,57,74,24
78,868933,691.494623655914,73,552,4,26,5,5,6,1,7,5,10,4,36,160,35,35,41,35,62,56,71,21
